Category,Chapter,Sentence No,Matched Pattern,Sentence,Score
Money Concept,0,0,keyword,What The Rich Teach Their Kids About Money ,2
Financial Lesson Explanation,0,13,Advice / Principle,"expert assistance is required, the services of a professional should be sought.",5
Money Concept,0,15,keyword,"CASHFLOW, Rich Dad, Rich Dad Advisors, ESBI, and are registered trademarks of",2
Investment Advice,0,20,keyword,What the Rich Invest in That the Poor and Middle Class Do Not,3
Money Concept,0,23,keyword,Why Slow Investors Lose and Fast Money Wins!,2
Money Concept,0,24,keyword,The Secrets About Money  That You Dont Learn In School!,2
Money Concept,0,25,keyword,Learn How Money Works and Become a Rich Kid,2
Money Concept,1,32,keyword,Lesson 1 The Rich Dont Work for Money....................................................9,2
Financial Lesson Explanation,1,32,Rich vs Poor Comparison,Lesson 1 The Rich Dont Work for Money....................................................9,5
Money Concept,6,34,keyword,Lesson 6 Work to LearnDont Work for Money.....................................115,2
Money Concept,0,54,keyword,"For example, one dad would say, The love of money is the root",2
Money Concept,0,55,keyword,"The other said, The lack of money is the root of all evil.",2
Money Concept,0,58,keyword,"particularly about money, was so extreme that I grew curious and",2
Money Concept,0,68,keyword,the middle class struggles in debt is that the subject of money is,2
Money Concept,0,69,keyword,So what can poor parents tell their child about money?,2
Money Concept,0,81,keyword,"money continues to be left to parentsmost of whom will be, or",2
Financial Lesson Explanation,0,82,Cause–Effect Explanation,"Because I had two influential fathers, I learned from both of",5
Financial Lesson Explanation,0,91,Advice / Principle,not mean that you should buy everything you want.,5
Financial Lesson Explanation,0,93,Cause–Effect Explanation,"Hed say, My brain gets stronger every day because I exercise",5
Money Concept,0,94,keyword,"The stronger it gets, the more money I can make.",2
Wealth Creation,0,103,keyword,and proper mental exercise increases your chances for wealth.,4
Financial Lesson Explanation,0,105,Advice / Principle,One dad thought that the rich should pay more in,5
Financial Lesson Explanation,0,109,Cause–Effect Explanation,"One dad said, The reason Im not rich is because I have you",5
Financial Lesson Explanation,0,110,Cause–Effect Explanation,"The other said, The reason I must be rich is because I have",5
Money Concept,0,111,keyword,One encouraged talking about money and business at the dinner,2
Money Concept,0,112,keyword,"table, while the other forbade the subject of money to be discussed",2
Money Concept,0,113,keyword,"One said, When it comes to money, play it safe.",2
Investment Advice,0,114,keyword,"One believed, Our home is our largest investment and our",3
Assets vs Liabilities,0,115,keyword,"The other believed, My house is a liability, and if your",3
Investment Advice,0,116,keyword,"house is your largest investment, youre in trouble.",3
